Date,Susceptible,VaccinatedSusceptible,Infected,Vaccinated Infected,Hospitalized,Vaccinated Hospitalized,Recovered,Extinct
15/03/2020,919999,0,1,0,0,0,0,0
16/03/2020,919999,0,1,0,0,0,0,0
17/03/2020,919999,0,1,0,0,0,0,0
18/03/2020,919999,0,1,0,0,0,0,0
19/03/2020,919997,0,3,0,0,0,0,0
20/03/2020,919997,0,3,0,0,0,0,0
21/03/2020,919997,0,3,0,0,0,0,0
22/03/2020,919996,0,4,0,0,0,0,0
23/03/2020,919993,0,7,0,0,0,0,0
24/03/2020,919991,0,9,0,0,0,0,0
25/03/2020,919989,0,9,0,2,0,0,0
26/03/2020,919987,0,11,0,2,0,0,0
27/03/2020,919983,0,14,0,3,0,0,0
28/03/2020,919981,0,15,0,4,0,0,0
29/03/2020,919980,0,14,0,5,0,1,0
30/03/2020,919977,0,16,0,6,0,1,0
31/03/2020,919974,0,19,0,6,0,1,0
01/04/2020,919969,0,24,0,6,0,1,0
02/04/2020,919968,0,25,0,4,0,3,0
03/04/2020,919966,0,25,0,5,0,4,0
04/04/2020,919963,0,28,0,4,0,5,0
05/04/2020,919962,0,28,0,4,0,6,0
06/04/2020,919958,0,32,0,4,0,6,0
07/04/2020,919950,0,40,0,4,0,6,0
08/04/2020,919948,0,42,0,2,0,8,0
09/04/2020,919944,0,45,0,3,0,8,0
10/04/2020,919942,0,47,0,3,0,8,0
11/04/2020,919938,0,51,0,3,0,8,0
12/04/2020,919931,0,58,0,2,0,9,0
13/04/2020,919927,0,61,0,3,0,9,0
14/04/2020,919917,0,70,0,4,0,9,0
15/04/2020,919915,0,72,0,4,0,9,0
16/04/2020,919914,0,71,0,6,0,9,0
17/04/2020,919914,0,71,0,6,0,9,0
18/04/2020,919912,0,73,0,5,0,10,0
19/04/2020,919912,0,73,0,5,0,10,0
20/04/2020,919907,0,78,0,5,0,10,0
21/04/2020,919903,0,81,0,6,0,10,0
22/04/2020,919901,0,83,0,4,0,12,0
23/04/2020,919898,0,85,0,5,0,12,0
24/04/2020,919897,0,86,0,5,0,12,0
25/04/2020,919895,0,88,0,4,0,13,0
26/04/2020,919895,0,88,0,4,0,13,0
27/04/2020,919888,0,95,0,4,0,13,0
28/04/2020,919888,0,94,0,5,0,13,0
29/04/2020,919886,0,96,0,3,0,15,0
30/04/2020,919886,0,96,0,3,0,15,0
01/05/2020,919883,0,99,0,2,0,16,0
02/05/2020,919880,0,102,0,2,0,16,0
03/05/2020,919880,0,101,0,2,0,17,0
04/05/2020,919880,0,101,0,2,0,17,0
05/05/2020,919878,0,103,0,2,0,17,0
06/05/2020,919878,0,103,0,2,0,17,0
07/05/2020,919877,0,104,0,1,0,18,0
08/05/2020,919877,0,104,0,1,0,18,0
09/05/2020,919876,0,104,0,2,0,18,0
10/05/2020,919876,0,104,0,2,0,18,0
11/05/2020,919876,0,104,0,2,0,18,0
12/05/2020,919875,0,105,0,1,0,19,0
13/05/2020,919875,0,105,0,1,0,19,0
14/05/2020,919874,0,106,0,1,0,19,0
15/05/2020,919873,0,107,0,1,0,19,0
16/05/2020,919872,0,108,0,1,0,19,0
17/05/2020,919872,0,108,0,1,0,19,0
18/05/2020,919872,0,108,0,1,0,19,0
19/05/2020,919870,0,110,0,1,0,19,0
