Dates,Susceptible,VaccinatedSusceptible
15/03/2020,919999,0
16/03/2020,919999,0
17/03/2020,919999,0
18/03/2020,919999,0
19/03/2020,919997,0
20/03/2020,919997,0
21/03/2020,919997,0
22/03/2020,919996,0
23/03/2020,919993,0
24/03/2020,919991,0
25/03/2020,919989,0
26/03/2020,919987,0
27/03/2020,919983,0
28/03/2020,919981,0
29/03/2020,919980,0
30/03/2020,919977,0
31/03/2020,919974,0
01/04/2020,919969,0
02/04/2020,919968,0
03/04/2020,919966,0
04/04/2020,919963,0
05/04/2020,919962,0
06/04/2020,919958,0
07/04/2020,919950,0
08/04/2020,919948,0
09/04/2020,919944,0
10/04/2020,919942,0
11/04/2020,919938,0
12/04/2020,919931,0
13/04/2020,919927,0
14/04/2020,919917,0
15/04/2020,919915,0
16/04/2020,919914,0
17/04/2020,919914,0
18/04/2020,919912,0
19/04/2020,919912,0
20/04/2020,919907,0
21/04/2020,919903,0
22/04/2020,919901,0
23/04/2020,919898,0
24/04/2020,919897,0
25/04/2020,919895,0
26/04/2020,919895,0
27/04/2020,919888,0
28/04/2020,919888,0
29/04/2020,919886,0
30/04/2020,919886,0
01/05/2020,919883,0
02/05/2020,919880,0
03/05/2020,919880,0
04/05/2020,919880,0
05/05/2020,919878,0
06/05/2020,919878,0
07/05/2020,919877,0
08/05/2020,919877,0
09/05/2020,919876,0
10/05/2020,919876,0
11/05/2020,919876,0
12/05/2020,919875,0
13/05/2020,919875,0
14/05/2020,919874,0
15/05/2020,919873,0
16/05/2020,919872,0
17/05/2020,919872,0
18/05/2020,919872,0
19/05/2020,919870,0
20/05/2020,919869,0
21/05/2020,919866,0
22/05/2020,919866,0
23/05/2020,919864,0
24/05/2020,919864,0
25/05/2020,919863,0
26/05/2020,919863,0
27/05/2020,919862,0
28/05/2020,919862,0
29/05/2020,919861,0
30/05/2020,919861,0
31/05/2020,919860,0
01/06/2020,919859,0
02/06/2020,919859,0
03/06/2020,919859,0
04/06/2020,919859,0
05/06/2020,919858,0
06/06/2020,919857,0
07/06/2020,919857,0
08/06/2020,919856,0
09/06/2020,919856,0
10/06/2020,919854,0
11/06/2020,919852,0
12/06/2020,919852,0
13/06/2020,919851,0
14/06/2020,919851,0
15/06/2020,919851,0
16/06/2020,919851,0
17/06/2020,919851,0
18/06/2020,919851,0
19/06/2020,919851,0
20/06/2020,919850,0
21/06/2020,919850,0
22/06/2020,919850,0
23/06/2020,919850,0
24/06/2020,919850,0
25/06/2020,919848,0
26/06/2020,919848,0
27/06/2020,919848,0
28/06/2020,919847,0
29/06/2020,919846,0
30/06/2020,919845,0
01/07/2020,919845,0
02/07/2020,919845,0
03/07/2020,919844,0
04/07/2020,919842,0
05/07/2020,919842,0
06/07/2020,919842,0
