Dates,Susceptible,Vaccinations,Infected,VaccinatedInfected
15/03/2020,896004,0,1,0
16/03/2020,896004,0,1,0
17/03/2020,896004,0,1,0
18/03/2020,896004,0,1,0
19/03/2020,896002,0,3,0
20/03/2020,896002,0,3,0
21/03/2020,896002,0,3,0
22/03/2020,896001,0,4,0
23/03/2020,895998,0,7,0
24/03/2020,895996,0,9,0
25/03/2020,895994,0,11,0
26/03/2020,895992,0,13,0
27/03/2020,895988,0,17,0
28/03/2020,895986,0,19,0
29/03/2020,895985,0,20,0
30/03/2020,895982,0,23,0
31/03/2020,895979,0,26,0
01/04/2020,895974,0,31,0
02/04/2020,895973,0,32,0
03/04/2020,895971,0,34,0
04/04/2020,895968,0,37,0
05/04/2020,895967,0,38,0
06/04/2020,895963,0,42,0
07/04/2020,895955,0,50,0
08/04/2020,895953,0,52,0
09/04/2020,895949,0,56,0
10/04/2020,895947,0,58,0
11/04/2020,895943,0,62,0
12/04/2020,895936,0,69,0
13/04/2020,895932,0,73,0
14/04/2020,895922,0,83,0
15/04/2020,895920,0,85,0
16/04/2020,895919,0,86,0
17/04/2020,895919,0,86,0
18/04/2020,895917,0,88,0
19/04/2020,895917,0,88,0
20/04/2020,895912,0,93,0
21/04/2020,895908,0,97,0
22/04/2020,895906,0,99,0
23/04/2020,895903,0,102,0
24/04/2020,895902,0,103,0
25/04/2020,895900,0,105,0
26/04/2020,895900,0,105,0
27/04/2020,895893,0,112,0
28/04/2020,895893,0,112,0
29/04/2020,895891,0,114,0
30/04/2020,895891,0,114,0
01/05/2020,895888,0,117,0
02/05/2020,895885,0,120,0
03/05/2020,895885,0,120,0
04/05/2020,895885,0,120,0
05/05/2020,895883,0,122,0
06/05/2020,895883,0,122,0
07/05/2020,895882,0,123,0
08/05/2020,895882,0,123,0
09/05/2020,895881,0,124,0
10/05/2020,895881,0,124,0
11/05/2020,895881,0,124,0
12/05/2020,895880,0,125,0
13/05/2020,895880,0,125,0
14/05/2020,895879,0,126,0
15/05/2020,895878,0,127,0
16/05/2020,895877,0,128,0
17/05/2020,895877,0,128,0
18/05/2020,895877,0,128,0
19/05/2020,895875,0,130,0
20/05/2020,895874,0,131,0
21/05/2020,895871,0,134,0
22/05/2020,895871,0,91,0
23/05/2020,895869,0,55,0
24/05/2020,895869,0,41,0
25/05/2020,895868,0,25,0
26/05/2020,895868,0,20,0
27/05/2020,895867,0,18,0
28/05/2020,895867,0,17,0
29/05/2020,895866,0,17,0
30/05/2020,895866,0,17,0
31/05/2020,895865,0,18,0
01/06/2020,895864,0,19,0
02/06/2020,895864,0,19,0
03/06/2020,895864,0,19,0
04/06/2020,895864,0,19,0
05/06/2020,895863,0,18,0
06/06/2020,895862,0,19,0
07/06/2020,895862,0,19,0
08/06/2020,895861,0,20,0
09/06/2020,895861,0,20,0
10/06/2020,895859,0,22,0
11/06/2020,895857,0,20,0
12/06/2020,895857,0,20,0
13/06/2020,895856,0,20,0
14/06/2020,895856,0,16,0
15/06/2020,895856,0,15,0
16/06/2020,895856,0,15,0
17/06/2020,895856,0,15,0
18/06/2020,895856,0,13,0
19/06/2020,895856,0,13,0
20/06/2020,895855,0,14,0
21/06/2020,895855,0,14,0
22/06/2020,895855,0,14,0
23/06/2020,895855,0,13,0
24/06/2020,895855,0,13,0
25/06/2020,895853,0,14,0
26/06/2020,895853,0,14,0
27/06/2020,895853,0,14,0
28/06/2020,895852,0,14,0
29/06/2020,895851,0,14,0
30/06/2020,895850,0,14,0
01/07/2020,895850,0,14,0
02/07/2020,895850,0,10,0
03/07/2020,895849,0,8,0
04/07/2020,895847,0,10,0
05/07/2020,895847,0,10,0
06/07/2020,895847,0,10,0
07/07/2020,895846,0,11,0
08/07/2020,895845,0,12,0
09/07/2020,895845,0,12,0
