Dates,Unvaccinated Infected,Vaccinated Infected,Total Infections Per Day
15/03/2020,1,0,1
19/03/2020,2,0,2
22/03/2020,1,0,1
23/03/2020,3,0,3
24/03/2020,2,0,2
25/03/2020,2,0,2
26/03/2020,2,0,2
27/03/2020,4,0,4
28/03/2020,2,0,2
29/03/2020,1,0,1
30/03/2020,3,0,3
31/03/2020,3,0,3
01/04/2020,5,0,5
02/04/2020,1,0,1
03/04/2020,2,0,2
04/04/2020,3,0,3
05/04/2020,1,0,1
06/04/2020,4,0,4
07/04/2020,8,0,8
08/04/2020,2,0,2
09/04/2020,4,0,4
10/04/2020,2,0,2
11/04/2020,4,0,4
12/04/2020,7,0,7
13/04/2020,4,0,4
14/04/2020,10,0,10
15/04/2020,2,0,2
16/04/2020,1,0,1
18/04/2020,2,0,2
20/04/2020,5,0,5
21/04/2020,4,0,4
22/04/2020,2,0,2
23/04/2020,3,0,3
24/04/2020,1,0,1
25/04/2020,2,0,2
27/04/2020,7,0,7
29/04/2020,2,0,2
01/05/2020,3,0,3
02/05/2020,3,0,3
05/05/2020,2,0,2
07/05/2020,1,0,1
09/05/2020,1,0,1
12/05/2020,1,0,1
14/05/2020,1,0,1
15/05/2020,1,0,1
16/05/2020,1,0,1
19/05/2020,2,0,2
20/05/2020,1,0,1
21/05/2020,3,0,3
23/05/2020,2,0,2
25/05/2020,1,0,1
27/05/2020,1,0,1
29/05/2020,1,0,1
31/05/2020,1,0,1
01/06/2020,1,0,1
05/06/2020,1,0,1
06/06/2020,1,0,1
08/06/2020,1,0,1
10/06/2020,2,0,2
11/06/2020,2,0,2
13/06/2020,1,0,1
20/06/2020,1,0,1
25/06/2020,2,0,2
28/06/2020,1,0,1
29/06/2020,1,0,1
30/06/2020,1,0,1
03/07/2020,1,0,1
04/07/2020,2,0,2
07/07/2020,1,0,1
08/07/2020,1,0,1
10/07/2020,6,0,6
12/07/2020,1,0,1
13/07/2020,1,0,1
14/07/2020,1,0,1
15/07/2020,5,0,5
17/07/2020,3,0,3
18/07/2020,1,0,1
20/07/2020,2,0,2
22/07/2020,5,0,5
23/07/2020,1,0,1
24/07/2020,4,0,4
25/07/2020,2,0,2
26/07/2020,1,0,1
27/07/2020,2,0,2
28/07/2020,5,0,5
29/07/2020,7,0,7
30/07/2020,17,0,17
31/07/2020,8,0,8
01/08/2020,7,0,7
02/08/2020,4,0,4
03/08/2020,13,0,13
04/08/2020,9,0,9
05/08/2020,7,0,7
06/08/2020,5,0,5
07/08/2020,8,0,8
08/08/2020,4,0,4
09/08/2020,4,0,4
10/08/2020,13,0,13
11/08/2020,9,0,9
12/08/2020,5,0,5
13/08/2020,9,0,9
14/08/2020,9,0,9
15/08/2020,3,0,3
16/08/2020,6,0,6
17/08/2020,7,0,7
18/08/2020,13,0,13
19/08/2020,5,0,5
20/08/2020,9,0,9
21/08/2020,8,0,8
22/08/2020,3,0,3
23/08/2020,6,0,6
24/08/2020,9,0,9
25/08/2020,7,0,7
26/08/2020,11,0,11
27/08/2020,5,0,5
28/08/2020,3,0,3
29/08/2020,2,0,2
30/08/2020,2,0,2
31/08/2020,1,0,1
01/09/2020,2,0,2
02/09/2020,1,0,1
03/09/2020,1,0,1
04/09/2020,4,0,4
05/09/2020,1,0,1
07/09/2020,1,0,1
08/09/2020,2,0,2
09/09/2020,2,0,2
10/09/2020,2,0,2
11/09/2020,4,0,4
12/09/2020,4,0,4
14/09/2020,6,0,6
15/09/2020,8,0,8
16/09/2020,8,0,8
17/09/2020,8,0,8
18/09/2020,11,0,11
19/09/2020,8,0,8
20/09/2020,9,0,9
21/09/2020,7,0,7
22/09/2020,12,0,12
23/09/2020,24,0,24
24/09/2020,9,0,9
25/09/2020,19,0,19
26/09/2020,4,0,4
27/09/2020,16,0,16
28/09/2020,21,0,21
29/09/2020,13,0,13
30/09/2020,14,0,14
01/10/2020,11,0,11
02/10/2020,16,0,16
03/10/2020,19,0,19
04/10/2020,15,0,15
05/10/2020,27,0,27
06/10/2020,15,0,15
07/10/2020,34,0,34
08/10/2020,20,0,20
09/10/2020,34,0,34
10/10/2020,16,0,16
11/10/2020,40,0,40
12/10/2020,56,0,56
13/10/2020,54,0,54
14/10/2020,87,0,87
15/10/2020,129,0,129
16/10/2020,103,0,103
17/10/2020,75,0,75
18/10/2020,42,0,42
19/10/2020,123,0,123
20/10/2020,125,0,125
21/10/2020,138,0,138
22/10/2020,139,0,139
23/10/2020,117,0,117
24/10/2020,72,0,72
25/10/2020,88,0,88
26/10/2020,146,0,146
27/10/2020,105,0,105
28/10/2020,90,0,90
29/10/2020,126,0,126
30/10/2020,171,0,171
31/10/2020,118,0,118
01/11/2020,131,0,131
02/11/2020,162,0,162
03/11/2020,149,0,149
04/11/2020,226,0,226
05/11/2020,198,0,198
06/11/2020,238,0,238
07/11/2020,134,0,134
08/11/2020,84,0,84
09/11/2020,186,0,186
10/11/2020,164,0,164
11/11/2020,190,0,190
12/11/2020,208,0,208
13/11/2020,171,0,171
14/11/2020,135,0,135
15/11/2020,118,0,118
16/11/2020,248,0,248
17/11/2020,226,0,226
18/11/2020,254,0,254
19/11/2020,261,0,261
20/11/2020,295,0,295
21/11/2020,193,0,193
22/11/2020,200,0,200
23/11/2020,271,0,271
24/11/2020,251,0,251
25/11/2020,258,0,258
26/11/2020,229,0,229
27/11/2020,260,0,260
28/11/2020,209,0,209
29/11/2020,167,0,167
30/11/2020,317,0,317
01/12/2020,339,0,339
02/12/2020,250,0,250
03/12/2020,309,0,309
04/12/2020,241,0,241
05/12/2020,115,0,115
06/12/2020,60,0,60
07/12/2020,91,0,91
08/12/2020,106,0,106
09/12/2020,175,0,175
10/12/2020,258,0,258
11/12/2020,307,0,307
12/12/2020,338,0,338
13/12/2020,321,0,321
14/12/2020,364,0,364
15/12/2020,374,0,374
16/12/2020,361,0,361
17/12/2020,450,0,450
18/12/2020,346,0,346
19/12/2020,295,0,295
20/12/2020,252,0,252
21/12/2020,456,0,456
22/12/2020,396,0,396
23/12/2020,380,0,380
24/12/2020,279,0,279
25/12/2020,38,0,38
26/12/2020,351,0,351
27/12/2020,344,0,344
28/12/2020,707,0,707
29/12/2020,586,0,586
30/12/2020,587,0,587
31/12/2020,533,0,533
01/01/2021,180,0,180
02/01/2021,640,0,640
03/01/2021,450,0,450
04/01/2021,631,0,631
05/01/2021,587,0,587
06/01/2021,414,0,414
07/01/2021,492,0,492
08/01/2021,370,0,370
09/01/2021,321,0,321
10/01/2021,239,0,239
11/01/2021,300,0,300
12/01/2021,249,0,249
13/01/2021,252,0,252
14/01/2021,198,0,198
15/01/2021,237,1,238
16/01/2021,165,0,165
17/01/2021,150,1,151
18/01/2021,150,1,151
19/01/2021,174,0,174
20/01/2021,159,0,159
21/01/2021,115,1,116
22/01/2021,100,0,100
23/01/2021,119,2,121
24/01/2021,102,0,102
25/01/2021,129,0,129
26/01/2021,127,1,128
27/01/2021,104,2,106
28/01/2021,122,0,122
29/01/2021,117,2,119
30/01/2021,90,0,90
31/01/2021,98,1,99
01/02/2021,97,3,100
02/02/2021,134,2,136
03/02/2021,113,0,113
04/02/2021,132,1,133
05/02/2021,126,0,126
06/02/2021,103,0,103
07/02/2021,91,0,91
08/02/2021,106,1,107
09/02/2021,97,2,99
10/02/2021,104,0,104
11/02/2021,93,0,93
12/02/2021,84,1,85
13/02/2021,112,1,113
14/02/2021,93,3,96
15/02/2021,100,2,102
16/02/2021,94,0,94
17/02/2021,91,0,91
18/02/2021,118,0,118
19/02/2021,79,0,79
20/02/2021,123,0,123
21/02/2021,92,0,92
22/02/2021,159,0,159
23/02/2021,158,1,159
24/02/2021,156,3,159
25/02/2021,204,1,205
26/02/2021,186,1,187
27/02/2021,261,2,263
28/02/2021,206,3,209
01/03/2021,237,3,240
02/03/2021,254,0,254
03/03/2021,263,1,264
04/03/2021,277,2,279
05/03/2021,265,0,265
06/03/2021,307,4,311
07/03/2021,285,4,289
08/03/2021,378,2,380
09/03/2021,368,4,372
10/03/2021,444,4,448
11/03/2021,370,11,381
12/03/2021,396,8,404
13/03/2021,338,5,343
14/03/2021,336,7,343
15/03/2021,259,4,263
16/03/2021,435,11,446
17/03/2021,378,10,388
18/03/2021,335,6,341
19/03/2021,369,9,378
20/03/2021,331,7,338
21/03/2021,350,9,359
22/03/2021,423,9,432
23/03/2021,294,13,307
24/03/2021,322,8,330
25/03/2021,287,10,297
26/03/2021,323,11,334
27/03/2021,265,15,280
28/03/2021,289,9,298
29/03/2021,459,14,473
30/03/2021,380,10,390
31/03/2021,432,14,446
01/04/2021,391,17,408
02/04/2021,506,21,527
03/04/2021,361,20,381
04/04/2021,410,8,418
05/04/2021,607,16,623
06/04/2021,522,15,537
07/04/2021,515,22,537
08/04/2021,577,13,590
09/04/2021,534,14,548
10/04/2021,484,18,502
11/04/2021,381,9,390
12/04/2021,605,17,622
13/04/2021,580,26,606
14/04/2021,605,20,625
15/04/2021,643,23,666
16/04/2021,682,33,715
