Dates,Unvaccinated Hospitalizations,Vaccinated Hospitalizations
15/03/2020,0,0
19/03/2020,0,0
22/03/2020,1,0
23/03/2020,0,0
24/03/2020,1,0
25/03/2020,1,0
26/03/2020,2,0
27/03/2020,2,0
28/03/2020,1,0
29/03/2020,0,0
30/03/2020,2,0
31/03/2020,0,0
01/04/2020,0,0
02/04/2020,0,0
03/04/2020,0,0
04/04/2020,0,0
05/04/2020,1,0
06/04/2020,1,0
07/04/2020,0,0
08/04/2020,0,0
09/04/2020,0,0
10/04/2020,0,0
11/04/2020,0,0
12/04/2020,2,0
13/04/2020,0,0
14/04/2020,1,0
15/04/2020,0,0
16/04/2020,0,0
18/04/2020,0,0
20/04/2020,2,0
21/04/2020,2,0
22/04/2020,0,0
23/04/2020,0,0
24/04/2020,0,0
25/04/2020,0,0
27/04/2020,0,0
29/04/2020,0,0
01/05/2020,0,0
02/05/2020,0,0
05/05/2020,0,0
07/05/2020,1,0
09/05/2020,0,0
12/05/2020,0,0
14/05/2020,0,0
15/05/2020,0,0
16/05/2020,0,0
19/05/2020,0,0
20/05/2020,0,0
21/05/2020,1,0
23/05/2020,0,0
25/05/2020,0,0
27/05/2020,0,0
29/05/2020,0,0
31/05/2020,0,0
01/06/2020,0,0
05/06/2020,0,0
06/06/2020,0,0
08/06/2020,0,0
10/06/2020,1,0
11/06/2020,0,0
13/06/2020,1,0
20/06/2020,0,0
25/06/2020,0,0
28/06/2020,1,0
29/06/2020,0,0
30/06/2020,0,0
03/07/2020,0,0
04/07/2020,0,0
07/07/2020,0,0
08/07/2020,0,0
10/07/2020,0,0
12/07/2020,0,0
13/07/2020,0,0
14/07/2020,0,0
15/07/2020,1,0
17/07/2020,0,0
18/07/2020,0,0
20/07/2020,0,0
22/07/2020,1,0
23/07/2020,0,0
24/07/2020,0,0
25/07/2020,0,0
26/07/2020,0,0
27/07/2020,1,0
28/07/2020,2,0
29/07/2020,1,0
30/07/2020,1,0
31/07/2020,0,0
01/08/2020,2,0
02/08/2020,0,0
03/08/2020,1,0
04/08/2020,0,0
05/08/2020,0,0
06/08/2020,0,0
07/08/2020,0,0
08/08/2020,0,0
09/08/2020,0,0
10/08/2020,0,0
11/08/2020,0,0
12/08/2020,0,0
13/08/2020,0,0
14/08/2020,0,0
15/08/2020,0,0
16/08/2020,0,0
17/08/2020,0,0
18/08/2020,1,0
19/08/2020,0,0
20/08/2020,0,0
21/08/2020,0,0
22/08/2020,1,0
23/08/2020,0,0
24/08/2020,0,0
25/08/2020,0,0
26/08/2020,0,0
27/08/2020,2,0
28/08/2020,0,0
29/08/2020,0,0
30/08/2020,0,0
31/08/2020,0,0
01/09/2020,0,0
02/09/2020,0,0
03/09/2020,0,0
04/09/2020,0,0
05/09/2020,0,0
07/09/2020,0,0
08/09/2020,0,0
09/09/2020,0,0
10/09/2020,0,0
11/09/2020,0,0
12/09/2020,0,0
14/09/2020,2,0
15/09/2020,0,0
16/09/2020,1,0
17/09/2020,0,0
18/09/2020,3,0
19/09/2020,0,0
20/09/2020,1,0
21/09/2020,0,0
22/09/2020,2,0
23/09/2020,2,0
24/09/2020,1,0
25/09/2020,1,0
26/09/2020,0,0
27/09/2020,3,0
28/09/2020,1,0
29/09/2020,0,0
30/09/2020,0,0
01/10/2020,1,0
02/10/2020,1,0
03/10/2020,1,0
04/10/2020,0,0
05/10/2020,1,0
06/10/2020,0,0
07/10/2020,3,0
08/10/2020,0,0
09/10/2020,2,0
10/10/2020,1,0
11/10/2020,3,0
12/10/2020,7,0
13/10/2020,4,0
14/10/2020,4,0
15/10/2020,4,0
16/10/2020,7,0
17/10/2020,4,0
18/10/2020,2,0
19/10/2020,11,0
20/10/2020,3,0
21/10/2020,1,0
22/10/2020,4,0
23/10/2020,3,0
24/10/2020,2,0
25/10/2020,2,0
26/10/2020,5,0
27/10/2020,5,0
28/10/2020,5,0
29/10/2020,4,0
30/10/2020,9,0
31/10/2020,2,0
01/11/2020,7,0
02/11/2020,5,0
03/11/2020,7,0
04/11/2020,7,0
05/11/2020,10,0
06/11/2020,5,0
07/11/2020,4,0
08/11/2020,5,0
09/11/2020,9,0
10/11/2020,4,0
11/11/2020,5,0
12/11/2020,16,0
13/11/2020,8,0
14/11/2020,4,0
15/11/2020,13,0
16/11/2020,8,0
17/11/2020,12,0
18/11/2020,8,0
19/11/2020,5,0
20/11/2020,14,0
21/11/2020,6,0
22/11/2020,5,0
23/11/2020,10,0
24/11/2020,7,0
25/11/2020,6,0
26/11/2020,7,0
27/11/2020,6,0
28/11/2020,9,0
29/11/2020,6,0
30/11/2020,6,0
01/12/2020,10,0
02/12/2020,4,0
03/12/2020,5,0
04/12/2020,6,0
05/12/2020,8,0
06/12/2020,1,0
07/12/2020,4,0
08/12/2020,5,0
09/12/2020,4,0
10/12/2020,9,0
11/12/2020,11,0
12/12/2020,10,0
13/12/2020,10,0
14/12/2020,9,0
15/12/2020,15,0
16/12/2020,8,0
17/12/2020,12,0
18/12/2020,7,0
19/12/2020,7,0
20/12/2020,6,0
21/12/2020,14,0
22/12/2020,12,0
23/12/2020,18,0
24/12/2020,7,0
25/12/2020,3,0
26/12/2020,11,0
27/12/2020,16,0
28/12/2020,19,0
29/12/2020,19,0
30/12/2020,18,0
31/12/2020,20,0
01/01/2021,15,0
02/01/2021,23,0
03/01/2021,11,0
04/01/2021,9,0
05/01/2021,16,0
06/01/2021,19,0
07/01/2021,18,0
08/01/2021,16,0
09/01/2021,16,0
10/01/2021,13,0
11/01/2021,17,0
12/01/2021,14,0
13/01/2021,9,0
14/01/2021,10,0
15/01/2021,11,0
16/01/2021,16,0
17/01/2021,7,0
18/01/2021,9,0
19/01/2021,15,0
20/01/2021,15,0
21/01/2021,11,0
22/01/2021,7,0
23/01/2021,7,0
24/01/2021,6,0
25/01/2021,7,0
26/01/2021,7,0
27/01/2021,8,0
28/01/2021,10,0
29/01/2021,8,1
30/01/2021,8,0
31/01/2021,8,1
01/02/2021,7,0
02/02/2021,10,0
03/02/2021,5,0
04/02/2021,11,1
05/02/2021,4,0
06/02/2021,8,0
07/02/2021,11,0
08/02/2021,2,0
09/02/2021,9,1
10/02/2021,10,0
11/02/2021,11,0
12/02/2021,10,1
13/02/2021,9,0
14/02/2021,3,1
15/02/2021,11,0
16/02/2021,5,0
17/02/2021,6,0
18/02/2021,7,0
19/02/2021,5,0
20/02/2021,6,0
21/02/2021,9,0
22/02/2021,14,0
23/02/2021,12,0
24/02/2021,8,1
25/02/2021,15,0
26/02/2021,15,0
27/02/2021,17,1
28/02/2021,19,1
01/03/2021,18,2
02/03/2021,20,0
03/03/2021,12,0
04/03/2021,20,0
05/03/2021,16,0
06/03/2021,9,1
07/03/2021,20,0
08/03/2021,28,1
09/03/2021,28,1
10/03/2021,40,0
11/03/2021,18,4
12/03/2021,22,1
13/03/2021,22,2
14/03/2021,13,1
15/03/2021,11,1
16/03/2021,25,1
17/03/2021,16,1
18/03/2021,14,0
19/03/2021,17,2
20/03/2021,11,0
21/03/2021,20,1
22/03/2021,15,2
23/03/2021,21,1
24/03/2021,12,1
25/03/2021,13,0
26/03/2021,19,1
27/03/2021,18,2
28/03/2021,16,0
29/03/2021,22,1
30/03/2021,18,1
31/03/2021,16,1
01/04/2021,15,0
02/04/2021,26,1
03/04/2021,16,0
04/04/2021,22,1
05/04/2021,19,1
06/04/2021,23,3
07/04/2021,29,2
08/04/2021,25,4
09/04/2021,29,1
10/04/2021,34,2
11/04/2021,17,0
12/04/2021,29,2
13/04/2021,26,6
14/04/2021,27,3
15/04/2021,19,2
16/04/2021,33,2
17/04/2021,34,1
18/04/2021,32,1
19/04/2021,40,3
20/04/2021,25,5
21/04/2021,28,2
22/04/2021,31,4
23/04/2021,27,1
24/04/2021,29,2
25/04/2021,20,0
26/04/2021,40,2
27/04/2021,32,5
28/04/2021,15,0
29/04/2021,27,1
30/04/2021,13,3
01/05/2021,13,1
02/05/2021,6,3
03/05/2021,18,1
04/05/2021,26,5
05/05/2021,24,1
06/05/2021,16,5
07/05/2021,4,2
08/05/2021,10,3
09/05/2021,8,3
10/05/2021,15,1
11/05/2021,10,3
12/05/2021,9,2
13/05/2021,12,2
14/05/2021,4,1
15/05/2021,7,2
16/05/2021,8,0
17/05/2021,7,0
18/05/2021,5,0
19/05/2021,6,0
20/05/2021,5,0
21/05/2021,6,0
22/05/2021,2,1
23/05/2021,4,1
24/05/2021,2,0
25/05/2021,1,1
26/05/2021,3,0
27/05/2021,8,0
28/05/2021,2,0
29/05/2021,3,0
30/05/2021,0,2
31/05/2021,0,0
01/06/2021,3,0
02/06/2021,2,0
03/06/2021,3,2
04/06/2021,5,0
05/06/2021,3,0
06/06/2021,1,0
07/06/2021,4,2
08/06/2021,4,0
09/06/2021,4,1
10/06/2021,3,0
11/06/2021,4,0
12/06/2021,0,0
13/06/2021,3,0
14/06/2021,3,0
15/06/2021,3,0
16/06/2021,6,0
17/06/2021,6,0
18/06/2021,4,1
19/06/2021,2,0
20/06/2021,4,0
21/06/2021,1,0
22/06/2021,8,4
23/06/2021,6,1
24/06/2021,7,1
25/06/2021,4,1
26/06/2021,11,2
27/06/2021,7,1
28/06/2021,13,1
29/06/2021,14,0
30/06/2021,9,4
01/07/2021,9,1
02/07/2021,11,5
03/07/2021,16,4
04/07/2021,22,3
05/07/2021,23,4
06/07/2021,23,7
07/07/2021,20,1
08/07/2021,22,6
09/07/2021,23,2
10/07/2021,22,1
11/07/2021,13,4
12/07/2021,34,2
13/07/2021,30,4
14/07/2021,20,3
15/07/2021,24,5
16/07/2021,24,2
17/07/2021,24,3
18/07/2021,16,3
19/07/2021,42,7
20/07/2021,32,6
21/07/2021,22,6
22/07/2021,17,4
23/07/2021,30,3
24/07/2021,27,5
25/07/2021,20,1
26/07/2021,27,7
27/07/2021,29,4
28/07/2021,20,2
29/07/2021,25,5
30/07/2021,14,2
31/07/2021,16,4
01/08/2021,10,2
02/08/2021,15,5
03/08/2021,12,5
04/08/2021,18,3
05/08/2021,10,4
06/08/2021,16,4
07/08/2021,10,3
08/08/2021,12,3
09/08/2021,22,8
10/08/2021,12,2
11/08/2021,23,6
12/08/2021,11,3
13/08/2021,19,3
14/08/2021,15,1
15/08/2021,6,2
16/08/2021,15,1
17/08/2021,13,3
18/08/2021,16,3
19/08/2021,9,1
20/08/2021,6,5
21/08/2021,7,2
22/08/2021,5,3
23/08/2021,12,4
24/08/2021,9,2
25/08/2021,7,5
26/08/2021,6,2
27/08/2021,11,2
28/08/2021,5,1
29/08/2021,6,0
30/08/2021,10,5
31/08/2021,7,2
01/09/2021,9,1
02/09/2021,13,1
03/09/2021,11,1
04/09/2021,7,4
05/09/2021,6,2
06/09/2021,9,1
07/09/2021,3,4
08/09/2021,4,0
09/09/2021,3,2
10/09/2021,2,3
11/09/2021,4,1
12/09/2021,2,2
13/09/2021,5,4
14/09/2021,2,0
15/09/2021,9,0
16/09/2021,6,1
17/09/2021,4,0
18/09/2021,4,1
19/09/2021,4,0
20/09/2021,4,4
21/09/2021,2,3
22/09/2021,4,0
23/09/2021,1,2
24/09/2021,3,3
25/09/2021,1,2
26/09/2021,2,2
27/09/2021,2,1
28/09/2021,3,4
29/09/2021,2,1
30/09/2021,3,2
01/10/2021,2,1
02/10/2021,5,1
03/10/2021,3,0
04/10/2021,3,0
05/10/2021,4,1
06/10/2021,3,0
07/10/2021,4,0
08/10/2021,3,2
09/10/2021,1,3
10/10/2021,4,0
11/10/2021,1,0
12/10/2021,3,3
13/10/2021,3,0
14/10/2021,3,1
15/10/2021,2,4
16/10/2021,1,1
17/10/2021,2,1
18/10/2021,6,2
19/10/2021,6,2
20/10/2021,1,1
21/10/2021,3,1
22/10/2021,1,4
23/10/2021,2,2
24/10/2021,1,0
25/10/2021,8,2
26/10/2021,5,1
27/10/2021,3,4
28/10/2021,1,2
29/10/2021,6,2
30/10/2021,3,3
31/10/2021,3,2
01/11/2021,8,5
02/11/2021,2,1
03/11/2021,3,2
04/11/2021,4,3
05/11/2021,2,3
06/11/2021,5,2
07/11/2021,0,1
08/11/2021,3,1
09/11/2021,2,4
10/11/2021,6,3
11/11/2021,3,4
12/11/2021,5,1
13/11/2021,8,3
14/11/2021,4,1
15/11/2021,8,4
16/11/2021,13,4
17/11/2021,7,6
18/11/2021,8,4
