Dates,Susceptible,VaccinatedSusceptible,Infected,VaccinatedInfected,Hospitalized,VaccinatedHospitalized,Recovered,Extinct,Vaccinations
15/03/2020,896004,0,1,0,0,0,0,0,0
16/03/2020,896004,0,1,0,0,0,0,0,0
17/03/2020,896004,0,1,0,0,0,0,0,0
18/03/2020,896004,0,1,0,0,0,0,0,0
19/03/2020,896002,0,3,0,0,0,0,0,0
20/03/2020,896002,0,3,0,0,0,0,0,0
21/03/2020,896002,0,3,0,0,0,0,0,0
22/03/2020,896001,0,4,0,0,0,0,0,0
23/03/2020,895998,0,7,0,0,0,0,0,0
24/03/2020,895996,0,9,0,0,0,0,0,0
25/03/2020,895994,0,11,0,2,0,0,0,0
26/03/2020,895992,0,13,0,2,0,0,0,0
27/03/2020,895988,0,17,0,3,0,0,0,0
28/03/2020,895986,0,19,0,4,0,0,0,0
29/03/2020,895985,0,20,0,5,0,0,0,0
30/03/2020,895982,0,23,0,6,0,0,0,0
31/03/2020,895979,0,26,0,6,0,0,0,0
01/04/2020,895974,0,31,0,6,0,0,0,0
02/04/2020,895973,0,32,0,4,0,0,0,0
03/04/2020,895971,0,34,0,5,0,0,0,0
04/04/2020,895968,0,37,0,4,0,0,0,0
05/04/2020,895967,0,38,0,4,0,0,0,0
06/04/2020,895963,0,42,0,4,0,0,0,0
07/04/2020,895955,0,50,0,4,0,0,0,0
08/04/2020,895953,0,52,0,2,0,0,0,0
09/04/2020,895949,0,56,0,3,0,0,0,0
10/04/2020,895947,0,58,0,3,0,0,0,0
11/04/2020,895943,0,62,0,3,0,0,0,0
12/04/2020,895936,0,69,0,2,0,0,0,0
13/04/2020,895932,0,73,0,3,0,0,0,0
14/04/2020,895922,0,83,0,4,0,0,0,0
15/04/2020,895920,0,85,0,4,0,0,0,0
16/04/2020,895919,0,86,0,6,0,0,0,0
17/04/2020,895919,0,86,0,6,0,0,0,0
18/04/2020,895917,0,88,0,5,0,0,0,0
