Dates,Susceptible,VaccinatedSusceptible,Infected,Vacc Infected,Hospitalized,Vacc Hospitalized,Recovered,Extinct
10/03/2020,919999,0,1,0,0,0,0,0
11/03/2020,919999,0,1,0,0,0,0,0
12/03/2020,919999,0,1,0,0,0,0,0
13/03/2020,919999,0,1,0,0,0,0,0
14/03/2020,919999,0,0,0,1,0,0,0
15/03/2020,919997,0,2,0,1,0,0,0
16/03/2020,919997,0,2,0,1,0,0,0
17/03/2020,919997,0,1,0,2,0,0,0
18/03/2020,919997,0,1,0,2,0,0,0
19/03/2020,919993,0,4,0,3,0,0,0
20/03/2020,919991,0,4,0,5,0,0,0
21/03/2020,919990,0,4,0,5,0,0,1
22/03/2020,919989,0,5,0,5,0,0,1
23/03/2020,919986,0,8,0,5,0,0,1
24/03/2020,919983,0,10,0,5,0,0,2
25/03/2020,919981,0,10,0,7,0,0,2
26/03/2020,919979,0,12,0,7,0,0,2
27/03/2020,919973,0,15,0,7,0,0,5
28/03/2020,919971,0,15,0,7,0,0,7
29/03/2020,919970,0,14,0,8,0,1,7
30/03/2020,919966,0,17,0,9,0,1,7
31/03/2020,919961,0,21,0,9,0,1,8
01/04/2020,919956,0,26,0,9,0,1,8
02/04/2020,919955,0,25,0,9,0,3,8
03/04/2020,919953,0,25,0,9,0,4,9
04/04/2020,919948,0,29,0,8,0,5,10
05/04/2020,919947,0,28,0,9,0,6,10
06/04/2020,919943,0,32,0,9,0,6,10
07/04/2020,919935,0,40,0,9,0,6,10
08/04/2020,919933,0,42,0,7,0,8,10
09/04/2020,919929,0,45,0,8,0,8,10
10/04/2020,919926,0,47,0,9,0,8,10
11/04/2020,919922,0,51,0,9,0,8,10
12/04/2020,919915,0,58,0,8,0,9,10
13/04/2020,919911,0,61,0,9,0,9,10
14/04/2020,919901,0,70,0,10,0,9,10
15/04/2020,919899,0,72,0,10,0,9,10
16/04/2020,919898,0,71,0,12,0,9,10
17/04/2020,919898,0,71,0,12,0,9,10
18/04/2020,919896,0,73,0,11,0,10,10
19/04/2020,919896,0,73,0,11,0,10,10
20/04/2020,919891,0,78,0,11,0,10,10
21/04/2020,919887,0,81,0,12,0,10,10
22/04/2020,919885,0,83,0,9,0,12,11
23/04/2020,919882,0,85,0,9,0,12,12
24/04/2020,919881,0,86,0,9,0,12,12
25/04/2020,919879,0,88,0,8,0,13,12
26/04/2020,919879,0,88,0,7,0,13,13
27/04/2020,919872,0,95,0,7,0,13,13
28/04/2020,919872,0,94,0,8,0,13,13
29/04/2020,919870,0,96,0,6,0,15,13
30/04/2020,919870,0,96,0,6,0,15,13
01/05/2020,919867,0,99,0,5,0,16,13
02/05/2020,919864,0,102,0,5,0,16,13
03/05/2020,919864,0,101,0,5,0,17,13
04/05/2020,919864,0,101,0,5,0,17,13
05/05/2020,919862,0,103,0,4,0,17,14
06/05/2020,919862,0,103,0,4,0,17,14
07/05/2020,919861,0,104,0,3,0,18,14
08/05/2020,919861,0,104,0,3,0,18,14
09/05/2020,919860,0,104,0,3,0,18,15
10/05/2020,919860,0,104,0,3,0,18,15
11/05/2020,919860,0,104,0,3,0,18,15
12/05/2020,919859,0,105,0,2,0,19,15
13/05/2020,919859,0,105,0,1,0,19,16
14/05/2020,919858,0,106,0,1,0,19,16
15/05/2020,919857,0,107,0,1,0,19,16
16/05/2020,919856,0,108,0,1,0,19,16
17/05/2020,919856,0,108,0,1,0,19,16
18/05/2020,919856,0,108,0,1,0,19,16
19/05/2020,919854,0,110,0,1,0,19,16
20/05/2020,919853,0,111,0,1,0,19,16
21/05/2020,919850,0,113,0,2,0,19,16
22/05/2020,919850,0,79,0,2,0,53,16
23/05/2020,919848,0,49,0,2,0,85,16
24/05/2020,919848,0,37,0,2,0,97,16
25/05/2020,919847,0,21,0,2,0,114,16
26/05/2020,919847,0,17,0,2,0,118,16
27/05/2020,919846,0,15,0,2,0,121,16
28/05/2020,919846,0,14,0,2,0,122,16
29/05/2020,919845,0,15,0,2,0,122,16
30/05/2020,919845,0,15,0,2,0,122,16
31/05/2020,919844,0,16,0,2,0,122,16
01/06/2020,919843,0,17,0,2,0,122,16
02/06/2020,919843,0,17,0,2,0,122,16
03/06/2020,919843,0,17,0,2,0,122,16
04/06/2020,919843,0,17,0,2,0,122,16
05/06/2020,919842,0,16,0,2,0,124,16
06/06/2020,919841,0,17,0,2,0,124,16
07/06/2020,919841,0,17,0,2,0,124,16
08/06/2020,919840,0,18,0,2,0,124,16
09/06/2020,919840,0,18,0,2,0,124,16
10/06/2020,919838,0,19,0,3,0,124,16
11/06/2020,919836,0,17,0,3,0,128,16
12/06/2020,919836,0,17,0,3,0,128,16
13/06/2020,919835,0,17,0,3,0,129,16
14/06/2020,919835,0,13,0,3,0,133,16
15/06/2020,919835,0,12,0,3,0,134,16
16/06/2020,919835,0,12,0,3,0,134,16
17/06/2020,919835,0,12,0,2,0,135,16
18/06/2020,919835,0,10,0,1,0,138,16
19/06/2020,919835,0,10,0,1,0,138,16
20/06/2020,919834,0,11,0,1,0,138,16
21/06/2020,919834,0,11,0,1,0,138,16
22/06/2020,919834,0,11,0,0,0,139,16
23/06/2020,919834,0,10,0,0,0,140,16
24/06/2020,919834,0,10,0,0,0,140,16
25/06/2020,919832,0,11,0,0,0,141,16
26/06/2020,919832,0,11,0,0,0,141,16
27/06/2020,919832,0,11,0,0,0,141,16
28/06/2020,919831,0,10,0,1,0,142,16
29/06/2020,919830,0,11,0,1,0,142,16
30/06/2020,919829,0,11,0,1,0,143,16
01/07/2020,919829,0,11,0,1,0,143,16
02/07/2020,919829,0,9,0,1,0,145,16
03/07/2020,919828,0,7,0,1,0,148,16
04/07/2020,919826,0,9,0,1,0,148,16
05/07/2020,919826,0,9,0,1,0,148,16
06/07/2020,919826,0,9,0,0,0,149,16
07/07/2020,919825,0,10,0,0,0,149,16
08/07/2020,919824,0,11,0,0,0,149,16
09/07/2020,919824,0,11,0,0,0,149,16
10/07/2020,919818,0,17,0,0,0,149,16
11/07/2020,919818,0,17,0,0,0,149,16
12/07/2020,919817,0,18,0,0,0,149,16
13/07/2020,919816,0,18,0,0,0,150,16
14/07/2020,919815,0,19,0,0,0,150,16
15/07/2020,919810,0,23,0,1,0,150,16
16/07/2020,919810,0,23,0,1,0,150,16
17/07/2020,919807,0,24,0,1,0,152,16
18/07/2020,919806,0,25,0,1,0,152,16
19/07/2020,919806,0,25,0,1,0,152,16
20/07/2020,919804,0,26,0,1,0,153,16
21/07/2020,919804,0,26,0,1,0,153,16
22/07/2020,919799,0,31,0,0,0,154,16
23/07/2020,919798,0,32,0,0,0,154,16
24/07/2020,919794,0,34,0,1,0,155,16
25/07/2020,919792,0,36,0,1,0,155,16
26/07/2020,919791,0,37,0,1,0,155,16
27/07/2020,919789,0,37,0,1,0,157,16
28/07/2020,919784,0,41,0,1,0,158,16
29/07/2020,919777,0,44,0,4,0,159,16
30/07/2020,919760,0,59,0,5,0,160,16
31/07/2020,919752,0,67,0,4,0,161,16
01/08/2020,919744,0,67,0,5,0,168,16
02/08/2020,919740,0,71,0,4,0,168,17
03/08/2020,919726,0,85,0,3,0,169,17
04/08/2020,919717,0,92,0,4,0,170,17
05/08/2020,919710,0,93,0,5,0,175,17
06/08/2020,919705,0,98,0,5,0,175,17
07/08/2020,919697,0,103,0,6,0,177,17
08/08/2020,919693,0,107,0,6,0,177,17
09/08/2020,919689,0,108,0,5,0,181,17
10/08/2020,919676,0,120,0,5,0,182,17
11/08/2020,919667,0,129,0,5,0,182,17
12/08/2020,919662,0,133,0,2,0,186,17
13/08/2020,919653,0,137,0,2,0,191,17
14/08/2020,919644,0,143,0,2,0,194,17
15/08/2020,919641,0,145,0,2,0,195,17
16/08/2020,919635,0,150,0,2,0,196,17
17/08/2020,919628,0,155,0,2,0,198,17
18/08/2020,919615,0,167,0,2,0,199,17
19/08/2020,919609,0,167,0,2,0,205,17
20/08/2020,919600,0,168,0,3,0,212,17
21/08/2020,919592,0,163,0,2,0,226,17
22/08/2020,919589,0,156,0,2,0,236,17
23/08/2020,919583,0,158,0,2,0,240,17
24/08/2020,919574,0,162,0,2,0,245,17
25/08/2020,919567,0,157,0,2,0,257,17
26/08/2020,919556,0,159,0,3,0,265,17
27/08/2020,919551,0,158,0,3,0,271,17
28/08/2020,919548,0,155,0,3,0,277,17
29/08/2020,919546,0,148,0,4,0,285,17
30/08/2020,919544,0,145,0,5,0,289,17
31/08/2020,919543,0,142,0,4,0,294,17
01/09/2020,919541,0,130,0,4,0,308,17
02/09/2020,919540,0,122,0,4,0,317,17
03/09/2020,919539,0,118,0,4,0,322,17
04/09/2020,919535,0,112,0,2,0,334,17
05/09/2020,919534,0,106,0,2,0,341,17
06/09/2020,919534,0,102,0,2,0,345,17
07/09/2020,919533,0,96,0,1,0,352,18
08/09/2020,919531,0,91,0,1,0,359,18
09/09/2020,919529,0,82,0,1,0,370,18
10/09/2020,919527,0,79,0,1,0,375,18
11/09/2020,919523,0,73,0,1,0,385,18
12/09/2020,919519,0,70,0,1,0,392,18
13/09/2020,919519,0,68,0,1,0,394,18
14/09/2020,919513,0,68,0,2,0,399,18
15/09/2020,919505,0,66,0,2,0,409,18
16/09/2020,919497,0,67,0,2,0,416,18
17/09/2020,919489,0,64,0,3,0,426,18
18/09/2020,919478,0,72,0,3,0,429,18
19/09/2020,919470,0,78,0,3,0,431,18
20/09/2020,919461,0,83,0,5,0,433,18
21/09/2020,919454,0,88,0,5,0,435,18
22/09/2020,919442,0,98,0,6,0,436,18
23/09/2020,919418,0,118,0,7,0,439,18
24/09/2020,919408,0,123,0,9,0,442,18
25/09/2020,919388,0,137,0,11,0,446,18
26/09/2020,919384,0,129,0,13,0,456,18
27/09/2020,919368,0,139,0,15,0,460,18
28/09/2020,919347,0,160,0,13,0,462,18
29/09/2020,919334,0,172,0,10,0,466,18
30/09/2020,919320,0,184,0,10,0,468,18
01/10/2020,919308,0,194,0,8,0,472,18
02/10/2020,919292,0,206,0,9,0,475,18
03/10/2020,919273,0,220,0,8,0,481,18
04/10/2020,919258,0,226,0,9,0,489,18
05/10/2020,919231,0,252,0,9,0,490,18
06/10/2020,919216,0,262,0,6,0,496,20
07/10/2020,919182,0,288,0,5,0,505,20
08/10/2020,919162,0,298,0,8,0,512,20
09/10/2020,919128,0,324,0,5,0,522,21
