Dates,Susceptible,VaccinatedSusceptible
10/03/2020,919999,0
11/03/2020,919999,0
12/03/2020,919999,0
13/03/2020,919999,0
14/03/2020,919999,0
15/03/2020,919997,0
16/03/2020,919997,0
17/03/2020,919997,0
18/03/2020,919997,0
19/03/2020,919993,0
20/03/2020,919991,0
21/03/2020,919990,0
22/03/2020,919989,0
23/03/2020,919986,0
24/03/2020,919983,0
25/03/2020,919981,0
26/03/2020,919979,0
27/03/2020,919973,0
28/03/2020,919971,0
29/03/2020,919970,0
30/03/2020,919966,0
31/03/2020,919961,0
01/04/2020,919956,0
02/04/2020,919955,0
03/04/2020,919953,0
04/04/2020,919948,0
05/04/2020,919947,0
06/04/2020,919943,0
07/04/2020,919935,0
08/04/2020,919933,0
09/04/2020,919929,0
10/04/2020,919926,0
11/04/2020,919922,0
12/04/2020,919915,0
13/04/2020,919911,0
14/04/2020,919901,0
15/04/2020,919899,0
16/04/2020,919898,0
17/04/2020,919898,0
18/04/2020,919896,0
19/04/2020,919896,0
20/04/2020,919891,0
21/04/2020,919887,0
22/04/2020,919885,0
23/04/2020,919882,0
24/04/2020,919881,0
25/04/2020,919879,0
26/04/2020,919879,0
27/04/2020,919872,0
28/04/2020,919872,0
29/04/2020,919870,0
30/04/2020,919870,0
01/05/2020,919867,0
02/05/2020,919864,0
03/05/2020,919864,0
04/05/2020,919864,0
05/05/2020,919862,0
06/05/2020,919862,0
07/05/2020,919861,0
08/05/2020,919861,0
09/05/2020,919860,0
10/05/2020,919860,0
11/05/2020,919860,0
12/05/2020,919859,0
13/05/2020,919859,0
14/05/2020,919858,0
15/05/2020,919857,0
16/05/2020,919856,0
17/05/2020,919856,0
18/05/2020,919856,0
19/05/2020,919854,0
20/05/2020,919853,0
21/05/2020,919850,0
22/05/2020,919850,0
23/05/2020,919848,0
24/05/2020,919848,0
25/05/2020,919847,0
26/05/2020,919847,0
27/05/2020,919846,0
28/05/2020,919846,0
29/05/2020,919845,0
30/05/2020,919845,0
31/05/2020,919844,0
01/06/2020,919843,0
02/06/2020,919843,0
03/06/2020,919843,0
04/06/2020,919843,0
05/06/2020,919842,0
06/06/2020,919841,0
07/06/2020,919841,0
08/06/2020,919840,0
09/06/2020,919840,0
10/06/2020,919838,0
11/06/2020,919836,0
12/06/2020,919836,0
13/06/2020,919835,0
14/06/2020,919835,0
15/06/2020,919835,0
16/06/2020,919835,0
17/06/2020,919835,0
18/06/2020,919835,0
19/06/2020,919835,0
20/06/2020,919834,0
21/06/2020,919834,0
22/06/2020,919834,0
23/06/2020,919834,0
24/06/2020,919834,0
25/06/2020,919832,0
26/06/2020,919832,0
27/06/2020,919832,0
28/06/2020,919831,0
29/06/2020,919830,0
30/06/2020,919829,0
01/07/2020,919829,0
02/07/2020,919829,0
03/07/2020,919828,0
04/07/2020,919826,0
05/07/2020,919826,0
06/07/2020,919826,0
07/07/2020,919825,0
08/07/2020,919824,0
09/07/2020,919824,0
10/07/2020,919818,0
11/07/2020,919818,0
12/07/2020,919817,0
13/07/2020,919816,0
14/07/2020,919815,0
15/07/2020,919810,0
16/07/2020,919810,0
17/07/2020,919807,0
18/07/2020,919806,0
19/07/2020,919806,0
20/07/2020,919804,0
21/07/2020,919804,0
22/07/2020,919799,0
23/07/2020,919798,0
24/07/2020,919794,0
25/07/2020,919792,0
26/07/2020,919791,0
27/07/2020,919789,0
28/07/2020,919784,0
29/07/2020,919777,0
30/07/2020,919760,0
31/07/2020,919752,0
01/08/2020,919744,0
02/08/2020,919740,0
03/08/2020,919726,0
04/08/2020,919717,0
05/08/2020,919710,0
06/08/2020,919705,0
07/08/2020,919697,0
08/08/2020,919693,0
09/08/2020,919689,0
10/08/2020,919676,0
11/08/2020,919667,0
12/08/2020,919662,0
13/08/2020,919653,0
14/08/2020,919644,0
15/08/2020,919641,0
16/08/2020,919635,0
17/08/2020,919628,0
18/08/2020,919615,0
19/08/2020,919609,0
20/08/2020,919600,0
21/08/2020,919592,0
22/08/2020,919589,0
23/08/2020,919583,0
24/08/2020,919574,0
25/08/2020,919567,0
26/08/2020,919556,0
27/08/2020,919551,0
28/08/2020,919548,0
29/08/2020,919546,0
30/08/2020,919544,0
31/08/2020,919543,0
01/09/2020,919541,0
02/09/2020,919540,0
03/09/2020,919539,0
04/09/2020,919535,0
05/09/2020,919534,0
06/09/2020,919534,0
07/09/2020,919533,0
08/09/2020,919531,0
09/09/2020,919529,0
10/09/2020,919527,0
11/09/2020,919523,0
12/09/2020,919519,0
13/09/2020,919519,0
14/09/2020,919513,0
15/09/2020,919505,0
16/09/2020,919497,0
17/09/2020,919489,0
18/09/2020,919478,0
19/09/2020,919470,0
20/09/2020,919461,0
21/09/2020,919454,0
22/09/2020,919442,0
23/09/2020,919418,0
24/09/2020,919408,0
25/09/2020,919388,0
26/09/2020,919384,0
27/09/2020,919368,0
28/09/2020,919347,0
29/09/2020,919334,0
30/09/2020,919320,0
01/10/2020,919308,0
02/10/2020,919292,0
03/10/2020,919273,0
04/10/2020,919258,0
05/10/2020,919231,0
06/10/2020,919216,0
07/10/2020,919182,0
08/10/2020,919162,0
09/10/2020,919128,0
10/10/2020,919112,0
11/10/2020,919071,0
12/10/2020,919015,0
13/10/2020,918961,0
14/10/2020,918874,0
15/10/2020,918745,0
16/10/2020,918642,0
17/10/2020,918566,0
18/10/2020,918524,0
19/10/2020,918401,0
20/10/2020,918276,0
21/10/2020,918137,0
22/10/2020,917998,0
23/10/2020,917881,0
24/10/2020,917809,0
25/10/2020,917721,0
26/10/2020,917574,0
27/10/2020,917468,0
28/10/2020,917376,0
29/10/2020,917249,0
30/10/2020,917077,0
31/10/2020,916959,0
01/11/2020,916826,0
02/11/2020,916661,0
03/11/2020,916512,0
04/11/2020,916284,0
05/11/2020,916085,0
06/11/2020,915845,0
07/11/2020,915710,0
08/11/2020,915626,0
09/11/2020,915440,0
10/11/2020,915274,0
11/11/2020,915083,0
12/11/2020,914874,0
13/11/2020,914702,0
14/11/2020,914567,0
15/11/2020,914448,0
16/11/2020,914197,0
17/11/2020,913968,0
18/11/2020,913712,0
19/11/2020,913448,0
20/11/2020,913151,0
21/11/2020,912956,0
22/11/2020,912756,0
23/11/2020,912478,0
24/11/2020,912225,0
25/11/2020,911966,0
26/11/2020,911736,0
27/11/2020,911474,0
28/11/2020,911264,0
29/11/2020,911096,0
30/11/2020,910777,0
01/12/2020,910438,0
02/12/2020,910188,0
03/12/2020,909878,0
04/12/2020,909636,0
05/12/2020,909520,0
06/12/2020,909460,0
07/12/2020,909368,0
08/12/2020,909262,0
09/12/2020,909087,0
10/12/2020,908829,0
11/12/2020,908522,0
12/12/2020,908178,0
13/12/2020,907854,0
14/12/2020,907486,0
15/12/2020,907111,0
16/12/2020,906750,0
17/12/2020,906298,0
18/12/2020,905949,0
19/12/2020,905647,0
20/12/2020,905395,0
21/12/2020,904936,0
22/12/2020,904539,0
23/12/2020,904156,0
24/12/2020,903877,0
25/12/2020,903838,0
26/12/2020,903484,0
27/12/2020,903137,0
28/12/2020,902428,0
29/12/2020,901838,0
30/12/2020,901251,0
31/12/2020,900716,0
01/01/2021,900534,0
02/01/2021,899894,0
03/01/2021,899439,0
04/01/2021,898802,0
05/01/2021,898209,0
06/01/2021,897791,0
07/01/2021,896764,534
08/01/2021,895855,1068
09/01/2021,894996,1602
10/01/2021,894221,2136
11/01/2021,893355,2702
12/01/2021,892515,3290
13/01/2021,891658,3894
14/01/2021,890831,4522
15/01/2021,889942,5172
16/01/2021,889101,5847
17/01/2021,888247,6549
18/01/2021,887389,7255
19/01/2021,886502,7966
20/01/2021,885626,8681
21/01/2021,884790,9400
22/01/2021,883965,10124
23/01/2021,883116,10850
24/01/2021,882301,11562
25/01/2021,881477,12257
26/01/2021,880671,12935
27/01/2021,879904,13596
28/01/2021,879136,14242
29/01/2021,878389,14870
30/01/2021,877685,15484
31/01/2021,876995,16074
01/02/2021,876329,16640
02/02/2021,875649,17184
03/02/2021,875011,17708
04/02/2021,874377,18208
05/02/2021,873772,18687
06/02/2021,873213,19143
07/02/2021,872591,19673
08/02/2021,871882,20275
09/02/2021,871109,20949
10/02/2021,870255,21698
11/02/2021,869340,22520
12/02/2021,868361,23414
13/02/2021,867281,24381
14/02/2021,866195,25371
15/02/2021,865077,26386
16/02/2021,863941,27428
17/02/2021,862783,28494
18/02/2021,861573,29585
19/02/2021,860379,30700
20/02/2021,859115,31840
21/02/2021,857729,33134
22/02/2021,856121,34583
23/02/2021,854359,36186
24/02/2021,852315,38071
25/02/2021,849940,40240
26/02/2021,847299,42694
27/02/2021,844476,45253
28/02/2021,841756,47762
01/03/2021,839054,50222
02/03/2021,836385,52636
03/03/2021,833885,54871
04/03/2021,831550,56927
05/03/2021,829405,58807
06/03/2021,827218,60683
07/03/2021,825052,62559
08/03/2021,822811,64420
09/03/2021,820595,66263
10/03/2021,818321,68089
11/03/2021,816135,69892
12/03/2021,813940,71682
13/03/2021,811820,73458
14/03/2021,809719,75216
15/03/2021,807692,76977
16/03/2021,805487,78731
17/03/2021,803344,80486
18/03/2021,801244,82245
19/03/2021,799109,84001
20/03/2021,797013,85759
21/03/2021,794932,87479
22/03/2021,792814,89163
23/03/2021,790863,90807
24/03/2021,788919,92420
25/03/2021,787047,93995
26/03/2021,785174,95533
27/03/2021,783395,97031
28/03/2021,781591,98535
29/03/2021,779615,100033
30/03/2021,777720,101536
31/03/2021,775772,103035
01/04/2021,773867,104531
02/04/2021,771848,106023
03/04/2021,769969,107515
04/04/2021,767921,109144
05/04/2021,765553,110888
06/04/2021,763143,112755
07/04/2021,760621,114738
08/04/2021,757767,116997
09/04/2021,754690,119524
10/04/2021,751586,122126
11/04/2021,748631,124691
12/04/2021,745496,127203
13/04/2021,742431,129661
14/04/2021,739386,132080
15/04/2021,736493,134306
16/04/2021,733750,136333
17/04/2021,730663,138619
18/04/2021,727400,141153
19/04/2021,723628,143911
20/04/2021,719653,147060
21/04/2021,715349,150497
22/04/2021,710627,154393
23/04/2021,705354,158745
24/04/2021,699984,163304
25/04/2021,694631,168096
26/04/2021,688731,173082
27/04/2021,682954,178160
28/04/2021,676973,183392
29/04/2021,671011,188617
30/04/2021,665235,193861
01/05/2021,659613,199128
02/05/2021,654064,204634
03/05/2021,647906,210346
04/05/2021,641252,216283
05/05/2021,634545,222449
06/05/2021,627723,228855
07/05/2021,620599,235637
08/05/2021,613051,242780
09/05/2021,605494,250073
10/05/2021,597712,257500
11/05/2021,589721,265211
12/05/2021,581046,273680
13/05/2021,572277,282235
14/05/2021,563596,290742
15/05/2021,555670,298508
16/05/2021,548499,305539
17/05/2021,541181,312671
18/05/2021,534349,319352
19/05/2021,528157,325423
20/05/2021,522437,331036
21/05/2021,517158,336180
22/05/2021,511958,341282
23/05/2021,506834,346349
24/05/2021,501645,351441
25/05/2021,496813,356193
26/05/2021,492629,360305
27/05/2021,488364,364486
28/05/2021,484473,368309
29/05/2021,480673,372044
30/05/2021,476979,375693
31/05/2021,474445,378173
01/06/2021,472292,380254
02/06/2021,470561,381936
03/06/2021,468580,383848
04/06/2021,466468,385888
05/06/2021,464228,388079
06/06/2021,461870,390405
07/06/2021,459388,392822
08/06/2021,456382,395746
09/06/2021,452807,399250
10/06/2021,449800,402204
11/06/2021,446262,405682
12/06/2021,442603,409297
13/06/2021,438821,413032
14/06/2021,434711,417085
15/06/2021,430680,421039
16/06/2021,426820,424822
17/06/2021,422823,428751
18/06/2021,419429,432068
19/06/2021,416260,435166
20/06/2021,413437,437924
